text,binary,multiclass
ojala dejar d ponert a ti antes q a mi siempre,Hope,Generalized Hope
"#USER# #USER# Sueñe pelado al señor Presidente le quedan 40 meces en la presidencia Le concejo que se siente y espere su turno, ya tendrán tiempo para seguir delechando al país",Not Hope,Not Hope
duxo hizo un space y estaba en el quinto sueño #URL#,Not Hope,Not Hope
#USER# Tía eso es una reliquia tiene que valer oro ahora mismo XD !,Not Hope,Not Hope
"
Ah, ¿en serio? Traducción: las únicas enmiendas que suben y bajan son las que yo quiero.",Not Hope,Sarcasm
Algún dia! Si logro bajarla!!! Es mi sueño frustrado ... #URL#,Not Hope,Not Hope
"#USER# Ay coma mierda, esa comparación es un despropósito o el reflejo de una basta ignorancia, Vargas Lleras ha hecho y hace cosas peores.  Por cierto, esperar que la presidencia de Petro cambie todo de la noche a la mañana es Caudillismo... Y eso no le conviene, ni a ud, ni al país.",Not Hope,Not Hope
"#USER# Anhelo una actualización en la que se esté divirtiendo.. ya sea en casa, con amigos, con su familia.. espero esté feliz💕",Hope,Generalized Hope
#USER# Esperando a la ronda de tíos buenorros estoy ahora mismo 😂 #URL#,Hope,Unrealistic Hope
#USER# #USER# #USER# #USER# #USER# es un peligro tener un asistente que desearía tu puesto. En esta vida uno tiene que ser leal. Y un cuerpo técnico va Unido para bien o para mal. Abrazo mister,Not Hope,Not Hope
#USER# Totalmente. Estoy deseando que vuelva el horario de verano para ver más rato el sol después de currar xD,Hope,Realistic Hope
"#USER# #USER# #USER# #USER# #USER# #USER# #USER# Son el orgullo de la región caribe, vamos a ganar ese partido y clasifiquemos a la #USER# es un sueño para el hincha, para las familias Junioristas, para la presa saquemos la casta y esa Jerarquía que nos caracteriza como costeños muchachos! 🔴⚪ 🦈 #URL#",Not Hope,Not Hope
#USER# No se puede esperar mucho más de los supuestos humanos ! HDP,Not Hope,Not Hope
ai no soy fuerte no puedo seguir fingiendo q no desearia estar en el ateezconcierto #URL#,Not Hope,Not Hope
¡SU MÁS GRADE SUEÑO! 😍🇲🇽🏎️  Checo Pérez espera cumplir su mayor anhelo en México 👇🏻🏁🏆  https://t.co/KjeI2x5sTD,Hope,Generalized Hope
"Salgo de trabajar y me voy derecho a entrenar , espero que mi amiga me espere con un buen mate",Hope,Realistic Hope
#USER# Toda la razón. Yo lo hago en los relatos y creo que alguna vez en Twitter pero debería hacerlo más con los tweets randoms medio poéticos o medio narrativos whatever. Unos tw  nunca sobran.,Not Hope,Not Hope
"#USER# a parte tengo q esperar en mayo el examen para la uni otra vez, el año pasado ps no entré porque me faltaron puntos y parte debía materias😞",Not Hope,Not Hope
"#USER# Lo lógico sería que las ubicaciones medievales de ahora, cambien a formato futurístico . Creo yo",Not Hope,Not Hope
"Ahora solo queda rezar porque ikon venga otro día que no sea el ocho de junio,,,",Not Hope,Not Hope
"RT #USER# Aquí les dejo el artículo de nuestra motivadora Maria Marin, buenísimos consejos... #URL#",Hope,Generalized Hope
"#USER# ayy linda, la verdad no te conozco mucho pero de verdad te deseo lo mejor, no mereces lo q estás pasando y espero q te recuperes pronto, trata de descansar y cuídate mucho si? 🫂 recuerda q eres fuerte y puedes con todo ❤️",Hope,Generalized Hope
"#USER# #USER# Umtiti no es garantía, Lenglet Ojalá volviera a su mejor nivel sería lo idóneo, también está Ndicka que proyecta ser un muy buen central y más joven.",Hope,Realistic Hope
#USER# #USER# #USER# Creo q desde enero el equipo viene jugando partidos los fines de semana y entre semana sin descanso… empieza a pasar factura 😭,Not Hope,Not Hope
"Deseo el tiempo pase rápido para verte y abrazarte,así como anhelo llegar a trabajar de tu mano para que un día podamos estar aquí juntos,viviendo experiencias tan lindas🤞❤️🙏",Hope,Generalized Hope
Te deseo lo mejor porque gracias a ti soy la mejor versión de mi,Hope,Generalized Hope
Mi roomie me puso galletas Príncipe en mi alacena. Ese wey es oro.,Not Hope,Not Hope
#USER# Lo único que puedo decir es que esa dirigencia en Heredia tiene una pinta de mafia enorme  Y se puede esperar cualquier cosa a mi no me extrañaría que un día salgan esposados por algún delito,Not Hope,Not Hope
"📆 ¡No te pierdas la #Semana de oración por los cristianos perseguidos!  🔴 Del lunes 6 al domingo 12 de marzo. Parroquia de Santa María de la Esperanza de Doniantzu, Zizur Mayor #Navarra #USER# #URL#",Not Hope,Not Hope
"Una de experimentos sociales:  Amo hacerlos. Esta vez fue sobre el sueño, pregunte las mismas preguntas a varias personas y una respuesta general a ""q sentis cuando despertas?"" Es ""Siento mas sueño, quiero seguir durmiendo"".  Xq?  ""Es muy lindo seguir durmiendo despues de dormir""",Not Hope,Not Hope
Lo que anhelo que los bobitos a los que sigo hicieran lo mismo #URL#,Not Hope,Not Hope
RT #USER# El que todo el mundo estaba esperando!Gracias Rober🔝🏀📚,Not Hope,Not Hope
#USER# Ojalá holan vuelva aunque se fue mal lo necesitamos,Hope,Generalized Hope
el trauma con esta profesora que hasta sueño con ella 😫😵‍💫,Not Hope,Not Hope
#USER# DESEO SE RESUELVA TU PROBLEMA DE LA MEJOR MANERA POSIBLE PARA TI Y TU FAMILIA,Hope,Generalized Hope
Ala mier-... ¿Qué empresario minero explorador de yacimientos de oro daría sobornos en joyitas? ¿Quién las aceptaría si se sabe que puede dar mucho más?🤦🏻‍♀️ NEWSFLASH las mujeres cuando trabajan y ganan bien se compran cositas caras. ¿Y cómo sabes que es oro y no fantasía fina? 🤡 #URL#,Not Hope,Not Hope
"🔻 Tienen esperanza de que los 43 normalistas regresen con vida, destacan en el aniversario de su escuela  ""Les truncaron sus aspiraciones para ser alguien en la vida y así contribuir al desarrollo del país"", señala el director   https://t.co/PpMxDtEpf2 #Ayotzinapa #Guerrero #URL#",Hope,Realistic Hope
"que sueño que tengo lpm, ya quiero dormir de nuevo, ayuda.",Hope,Generalized Hope
Ahora es cuando desearía ganar el doble de sueldo.  Que lindo sería verlosss #URL#,Hope,Generalized Hope
"Claro, es realmente muy difícil recortar y pegar un artículo de noticias en el foro. Mira la página de armas, él no es más que un bot.",Not Hope,Sarcasm
#USER# Por favor señora NADA DE ESO ESTÁ FUNCIONANDO. Espere hasta que ya algo de eso sea de provecho.,Not Hope,Not Hope
"Esto es raro, me quedé toda la noche despierta pero no tengo sueño, es más se me antojo un tesito de frambuesa... Que pedo?! Yo no soy así!!",Not Hope,Not Hope
"#USER# ya hasta prendí la tv por tú tuit me pasó el sueño ja ja es hora de qué haga café, lastima qué ya me acabé el vino pero más tarde voy a ir a traer más pero excelente peda la de anoche espero tú hayas bebido algo para relajarte ♥️",Hope,Generalized Hope
#USER# Si fui y hasta tengo maestría. Pero ¿como un ministro puede decir que el ingreso per capita de un venezolano es mayor que el de un hondureño y que desearia que ojalá fuéramos como Venezuela?  🇻🇪 salario mínimo son 7 dólares en 🇭🇳 300 dólares ¿dónde está la descontextualización?,Hope,Unrealistic Hope
yo desayuno un cigarro y rezo por no cagarme encima con esto ya ni te digo #URL#,Not Hope,Not Hope
marzo acaba de empezar y ya estoy deseando que se acabe,Hope,Generalized Hope
"Es que solo le importa ella, quiere saber cómo está y se preocupa por Jana, solo por Jana. Manuel yo te rezo #LaPromesa",Hope,Generalized Hope
"#USER# Lo tengo bloqueado, hace tiempo que con cada gilipollas del que no quiero saber nada lo bloqueo para no sumarme a la masa de gente que habla de X subnormal para no sumarle interacciones ni darle relevancia, que es insignificante que lo haga yo pero rezo para que se sume más gente",Hope,Realistic Hope
#USER# #USER# Desearía quedarnos con las 16 copas nacionales y ganar las internacionales que nombra el bro … 😞😢 jaj,Not Hope,Not Hope
"#USER# Se está pasando de cabrón, no?😂  Si me aferro a algo es que si entramos a playoff será con buena dinámica como os pasó a vosotros el año pasado, generando un valor añadido que nos puede dar algo de esperanza. Pero está la cosa complicada. Un abrazo, ojalá estar en vuestro lugar.",Not Hope,Not Hope
"Anti-Messis en 2010: ""Iniesta o Xavi se merecían más el balón de oro porque ganaron el mundial"" Anti-Messis en 2023: ""Messi no se merece el balón de oro, solo ganó un torneo de 7 partidos""",Not Hope,Not Hope
"Buen día, dejo misiva enviada del Papa Francisco a Luis Carzoglio.   ""Dr. Luis, querido hermano, gracias por escribirme. Rezo por vos y tu esposa,  por favor háganlo por mi.  Sigan adelante trabajando por el bien. Fraternamente Francisco"" (6/3/2023) #URL#",Hope,Generalized Hope
"Vamos a ver, chicos, están yéndose completamente por la borda con esto. Los cambios en los estándares del consejo educativo NO van a cambiar de manera significativa cómo se enseña la evolución en Kansas, ni tampoco permiten la enseñanza del creacionismo o el diseño inteligente en nuestras aulas. Nuestro comité asesor científico del distrito dice que los cambios en el currículo lo hacen ""más fiel a los hechos"", e incluso las personas que redactaron el currículo original no pudieron encontrar ningún error factual en el nuevo borrador. Los alarmistas deberían calmarse un poco.",Not Hope,Sarcasm
Lacalle Pou y la seguridad social: “Yo creo que todos los partidos están esperando que esta reforma salga” https://t.co/nisy7wxy04 #URL#,Hope,Realistic Hope
"#USER# #USER# #USER# #USER# #USER# #USER# Rezo para que jamás volvamos a tener un Gobierno como este. Solo postureo, proganda, sectario, vende humos, embustero desde que sale hasta que se pone el sol, incompetentes, corruptos, malversadores y puteros.",Not Hope,Not Hope
"#USER# ""Clienta"" es otra palabra incorrecta, aunque creo que es de las pocas cuyo uso se normalizó antes de la epidemia inclusiva.",Not Hope,Not Hope
"Las apariencias engañan, pero para tu sorpresa, no me gustas x tu físico sino x tu cabeza xq no es oro, todo lo q reluce y son tus ideas, las q más me seducen.",Not Hope,Not Hope
RT #USER# Mira qué buen Lunes. Y mira cómo me acerco con paso firme a mi sueño. #URL#,Hope,Generalized Hope
Tamos esperando en la clínica y el matu se cruzo a comprar milanesas ya que estaba jajajaja,Not Hope,Not Hope
"Solos tu y yo entramos en calor, hoy le voy a rezar y no a los santos",Not Hope,Not Hope
"Es gracioso porque justo ayer un payaso me dejó un comentario en un vídeo de Jujutsu Kaisen diciendo ""Naruto 2"" Kurama aún en su época de edgelord desearía ser la mitad de hijo de puta que Sukuna, osea no hay comparación",Not Hope,Not Hope
Ahora si....finalmente llego la soledad a mi vida...si yo me lo busque losee...el tiempo no vuelve pero ahora ya se como debo hacer las cosas.  Cuidame desde arriba...prometo cumplir nuestro sueño😶💔 Gracias por tu sabiduria y tu amor mamita.,Hope,Generalized Hope
"Solo un episodio más de The Last Of Us y dura 43 minutos, están haciendo un muy buen trabajo en adaptar el juego pero desearía que fueran más episodios.",Not Hope,Not Hope
"La verdad desearía no despertar en la mañana, pero necesito terminar un montón de cosas ahs.",Hope,Unrealistic Hope
"En encanta como gente anda diciendo que ojalá no sea ""otra Velma"" cuando parece que no se dan cuenta de que Velma fue hecha por personas que directamente no les gusta Scooby Doo y no le pusieron nada de amor, en cambio esto se ve hecho por personas que amaron a las tortugas ninja #URL#",Hope,Realistic Hope
Si yo fuera... fuerza para alguien  Luz para alguien  Desearía que... Pudiera ser un trozo de paz   P.O.P 💜  I vote for #BTSARMY for #BestFanArmy #iHeartAwards,Hope,Unrealistic Hope
#USER# Ojalá! Porque como tenga que esperar a que me asignen algo voy de cuuu,Hope,Realistic Hope
"Oh, veo que Easyrider quiere que publique un poco más. ¡Lo que sea por mi viejo amigo EZ!",Hope,Sarcasm
RT #USER# Ustedes me van normal peros yo sigo esperando Last First Kiss versión reggae completa,Not Hope,Not Hope
Debo esperar que termine la jornada para conectarme con mis emociones,Hope,Generalized Hope
"Las bacterias están fuera del intestino con ganas de pasar e invadir tu sistema, y tus células inmunes están dentro, esperando reaccionar si hay una invasión…  Pero eso ya te lo contaré mañana para no aburrirte demasiado",Not Hope,Not Hope
Te rezo protector solar que vale un mes de comida 🥲,Hope,Realistic Hope
"No.   Estará impaciente, pero por esperar un poco más a que sane no pasará nada. #URL#",Not Hope,Not Hope
"#USER# Es que es una comparación que no tiene ni pies ni cabeza. Igual claro, que se puede esperar de enfermita así no?",Not Hope,Not Hope
rezo para q snf haga team con aldoier y no con la gente de ayer 🙏🙏🙏,Hope,Realistic Hope
"Si ya pensaba que Old Gods of Appalachia era una maravilla, The Silt Verses me deja sin palabras  No puedo esperar por el juego de rol #URL#",Not Hope,Not Hope
rezo que max gane esta carrera y quede como un mamatucas en abu dhabi,Hope,Realistic Hope
"Debido al pecado y a que estamos en un mundo caído, no siempre sucede que hacer cosas sabias lleven a buen destino. Esto no debe desalentarnos, al contrario, nos ayuda a tener un panorama completo de la vida para vivir con sabiduría y anhelar con ansias que el Señor restaure todo",Not Hope,Not Hope
"Otra vez corte de luz , apagón,  cortes reiterados, mi papá de 85 años está con golpe de calor, y no puede estar sin luz!! Xq carajos tenemos que rezar para que funcione un servicio x el cual nos cobran tanto  #USER# #USER# #USER#",Not Hope,Not Hope
"Jajajaja y podes tener 3,000 seguidores en las redes, pero yo sé quién sos 🤣",Not Hope,Not Hope
"#USER# #USER# Hola me pueden contestar a mi? Me mandaron un msj de q viene un tecnico 9:20, estoy en la puerta de mi casa esperando y no llega aun...",Not Hope,Not Hope
Ésto es Demasiado Surrealista 🤣🤣🤣 en mi vida había conocido a alguien tan Estúpido que teniendo de Evidencia las palabras del Propio Autor de la obra (Isayama en Attack on Titan) quieren aceptar que ni a él le gustó el final y que desearía cambiarlo...  Increíble Negacionismo. #URL#,Not Hope,Not Hope
"
A ver, veamos. Lo único que esto ""equivale a"" es que necesitas un diccionario, ¿no?",Not Hope,Sarcasm
"Los liberales se están quejando por más fondos para grupos ateos? ¿Los homosexuales no merecen igualdad? ¿Los liberales están a favor del terrorismo? Madre mía, incluso cuando intentas retractarte, solo logras cavar el hoyo más profundo. Simplemente no puedes evitarlo, ¿verdad?",Not Hope,Sarcasm
"🎙️BENES | “Deseo volver a la Bundesliga. Es una de las mejores ligas del mundo y todos en el vestuario compartimos ese anhelo. También es imposible recibir más apoyo de nuestros aficionados, tanto dentro como fuera de casa, así que tenemos que darlo todo para lograrlo”.   #HSV #URL#",Not Hope,Not Hope
Ojala en mi team directo me toque banda chida porque María va a estar en otro team y si me toca banda muy positiva me gua malcoger.,Hope,Generalized Hope
esos ubers que cogen la ruta más larga para cobrarse más ojalá se le pinchen las dos gomas de atrás :),Hope,Realistic Hope
"Yo les deseo este tipo de amigas:  Llenas de risas y de empuje, de amorrr♥️ este y todos los marzo, las amigas son contención, gracias por tanto. #USER# #USER# #USER# 🥰 #URL#",Hope,Generalized Hope
RT #USER# Deseando hacerle a #USER# un traje basado en medusa de la mitología griega con reveal incluido y todo 😔🤘🏽,Not Hope,Not Hope
#USER# A un familiar le ofrecieron eso en una oficina del #USER# : uno siempre tiene la esperanza que sean casos aislados.,Hope,Generalized Hope
cuantos corazones dejaron d latir el mio apenas vi q salió trailer después d 7 HORAS espere años para este momento y la vida laburante m lo arruina,Not Hope,Not Hope
"Anhelo tener el amor que tuviste con mi tío, deseo ser la mujer con lealtad que eras aspiro a amar y cuidar como tú lo hacías y agradezco el amor que me diste desde que me conociste te amo y me dueles, me dueles mucho pero tengo paz porque sé el ser humano que fuiste en vida ❤️❤️ #URL#",Hope,Realistic Hope
Veo a Nay con su flaco bailando tech y es DEFINITIVAMENTE lo q anhelo para mí,Not Hope,Not Hope
#USER# yo también quiero tener familia numerosa!! Hay que rezar mogollón.,Hope,Realistic Hope
Y la #USER# puede entrar a Propiedad privada a incautar Bocinas sin la representacion de un Ministerio Publico #URL#,Not Hope,Not Hope
"Se van a atrasar los Streams hasta el 17 de Marzo, debutando oficialmente con un Pokémon Oro (NDS), y el 18 de Marzo, jugando al GTA V por primera vez (a ciegas)",Not Hope,Not Hope
160. Strange Academy: Civil War 3  Jamás esperé que esta serie sobre adolescentes en una escuela de mágia acabase en esta situación tan violenta. Emily ha acabado convirtiéndose el el Che Guevara #URL#,Not Hope,Not Hope
"La relación más larga fue de 4 años... Pero no creo que pudiese llamarlo relación... Así que lo más real, que es la que tengo ahora, ya van 2 años y 5 meses. #URL#",Not Hope,Not Hope
#USER# #USER# El año pasado fui por primera vez y la verdad que fue buenote. Si voy este año de echo que lo vuelvo a visitar. Solo desearía que no estuviera tan lejos de la civilización.,Not Hope,Not Hope
#USER# #USER# #USER# Es una combinación de la iglesia y el estado engañando a la gente dándoles esperanza donde no la hay y al final será. Los sometidos eso es no tener madre,Not Hope,Not Hope
A tirar por Baizhu y a rezar para que por el camino salga Faruzán C6. 🕯️✨ #URL#,Not Hope,Not Hope
Extraño a estos mellis de oro 😭🤏🏻💗 @cotyrommero #USER# #GranHermano #nachocastañares #cotiromero #cotigh #nachogh #nacoti #URL#,Hope,Generalized Hope
RT #USER# Bobo HDRMP. Sueño con su JUICIO POLITICO!  Calaña Inmundo. #URL#,Hope,Unrealistic Hope
"Vrga todos me han visto y me dijeron que me veo como con sueño, no me digassssss",Not Hope,Not Hope
El rezo de los ateos es toda esa metafísica en la que no creen pero a la que se Agarran,Not Hope,Not Hope
Gente se vuelve a Budismo lo sem lo presiento. Lo deseo y anhelo.,Not Hope,Not Hope
"¿Estás ciego? Me estaba refiriendo a las políticas del ""discurso 'justo'"" de Nancy Pelosi, no al discurso libre. El discurso justo es un intento de limitar la libertad de expresión.",Not Hope,Sarcasm
Ribera califica de “oportunidad de oro” la eólica marina #URL#,Not Hope,Not Hope
Esa barra pronto será la más personal que tenga ese es mi maldito anhelo,Not Hope,Not Hope
¿Cuándo bajarán de precio los Samsung Galaxy S23? ¿Merece la pena esperar? #URL# #ProAndroid,Not Hope,Not Hope
"Perotti, sobre las paritarias: ""Ojalá podamos encontrar un acuerdo"" #URL# #URL#",Hope,Generalized Hope
"Me encanta el seguro de salud, es tan divertido pagar cientos de dólares al mes y luego otros cientos por servicios médicos básicos que, de alguna manera, no están cubiertos. #América",Not Hope,Sarcasm
#USER# Ese es el máximo nivel de desempeño que se puede esperar. 🥴🥴🥴,Not Hope,Not Hope
"A pesar de que todos los años intraconsulta se cae, sigo teniendo esperanza de que justo a mi no me pase, y sí pasa, ni él me desilusiona tanto",Hope,Unrealistic Hope
Cuando hace los cambios hay que empezar a rezar 🙏,Hope,Generalized Hope
"Ya tengo entradas para ver a noruega. Por todo el tiempo que estuve el sábado para nada (4h) para que de error, mi outfit para el partido será camiseta del city de Haaland, bandera de Noruega y deseando que haya una goleada histórica a España.",Hope,Unrealistic Hope
